Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Temporary Registration Card (white),-,11,11
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,-,11,11
 None,1183,4604,5787
 Child under 10 years,2771,10105,12876
 Total,11505,31095,42600
AREA # 040302,Matupi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5910,16900,22810
 Associate Scrutiny Card (blue),1,9,10
 Naturalised Scrutiny Card (green),3,18,21
 National Registration Card (3-fold),4,47,51
 Religious card,6,-,6
 Temporary Registration Card (white),4,55,59
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,5,13,18
 None,710,5139,5849
 Child under 10 years,1978,8283,10261
 Total,8622,30464,39086
AREA # 040303,Kanpalet,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2645,8528,11173
 Associate Scrutiny Card (blue),-,4,4
 Naturalised Scrutiny Card (green),-,9,9
 National Registration Card (3-fold),1,17,18
 Religious card,10,24,34
 Temporary Registration Card (white),1,23,24
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,17,1,18
 None,480,3027,3507
 Child under 10 years,1005,5700,6705
 Total,4159,17334,21493
AREA # 040304,Paletwat,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4135,27305,31440
 Associate Scrutiny Card (blue),-,25,25
 Naturalised Scrutiny Card (green),31,35,66
 National Registration Card (3-fold),34,393,427
 Religious card,17,67,84
 Temporary Registration Card (white),54,446,500
 Foreign Registration Card (FRC),1,4,5
 Foreign Passport,61,26,87
 None,832,13994,14826
 Child under 10 years,1209,16302,17511
 Total,6374,58597,64971
AREA # 040351,Reazu(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1351,5861,7212
 Associate Scrutiny Card (blue),-,5,5
 Naturalised Scrutiny Card (green),-,11,11
 National Registration Card (3-fold),-,9,9
 Religious card,1,2,3
 Temporary Registration Card (white),-,6,6
 Foreign Passport,5,-,5
 None,260,1344,1604
 Child under 10 years,612,2798,3410
 Total,2229,10036,12265
AREA # 040352,Sami(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1530,11398,12928
 Associate Scrutiny Card (blue),-,14,14
 Naturalised Scrutiny Card (green),-,42,42
 National Registration Card (3-fold),3,72,75
 Religious card,2,22,24
 Temporary Registration Card (white),6,121,127
 Foreign Passport,-,10,10
 None,754,8457,9211
 Child under 10 years,737,8914,9651
 Total,3032,29050,32082
AREA # 050101,Sagaing,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),54461,137345,191806
 Associate Scrutiny Card (blue),27,60,87
 Naturalised Scrutiny Card (green),112,554,666
 National Registration Card (3-fold),315,2829,3144
 Religious card,1557,5506,7063
 Temporary Registration Card (white),98,144,242
 Foreign Registration Card (FRC),24,2,26
 Foreign Passport,41,62,103
 None,13254,44913,58167
 Child under 10 years,11543,34347,45890
 Total,81432,225762,307194
AREA # 050102,Myinmu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),11375,58886,70261
 Associate Scrutiny Card (blue),11,19,30
 Naturalised Scrutiny Card (green),27,216,243
 National Registration Card (3-fold),37,1776,1813
 Religious card,160,510,670
 Temporary Registration Card (white),9,53,62
 Foreign Registration Card (FRC),4,1,5
 Foreign Passport,-,28,28
 None,2410,15941,18351
 Child under 10 years,2525,12998,15523
 Total,16558,90428,106986
AREA # 050103,Myaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5591,62932,68523
 Associate Scrutiny Card (blue),-,27,27
 Naturalised Scrutiny Card (green),3,131,134
 National Registration Card (3-fold),53,1148,1201
 Religious card,50,453,503
 Temporary Registration Card (white),2,40,42
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,-,25,25
 None,987,18878,19865
 Child under 10 years,1109,14979,16088
 Total,7795,98616,106411
AREA # 050201,Shwebo,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),41417,96963,138380
 Associate Scrutiny Card (blue),70,43,113
 Naturalised Scrutiny Card (green),139,224,363
 National Registration Card (3-fold),447,1270,1717
 Religious card,946,810,1756
 Temporary Registration Card (white),75,351,426
 Foreign Registration Card (FRC),3,2,5
 Foreign Passport,18,38,56
 None,16080,41146,57226
 Child under 10 years,9841,25659,35500
 Total,69036,166506,235542
AREA # 050202,Khin U,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7543,81208,88751
 Associate Scrutiny Card (blue),1,23,24
 Naturalised Scrutiny Card (green),12,195,207
 National Registration Card (3-fold),73,953,1026
 Religious card,61,557,618
 Temporary Registration Card (white),26,170,196
 Foreign Passport,2,26,28
 None,1952,29373,31325
 Child under 10 years,1664,22618,24282
 Total,11334,135123,146457
AREA # 050203,Wetlet,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7218,108015,115233
 Associate Scrutiny Card (blue),2,42,44
 Naturalised Scrutiny Card (green),14,365,379
 National Registration Card (3-fold),53,1922,1975
 Religious card,91,877,968
 Temporary Registration Card (white),7,227,234
 Foreign Registration Card (FRC),17,13,30
 Foreign Passport,1,35,36
 None,1952,44981,46933
 Child under 10 years,1459,28925,30384
 Total,10814,185402,196216
AREA # 050204,Kambalu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15477,141638,157115
 Associate Scrutiny Card (blue),18,65,83
 Naturalised Scrutiny Card (green),46,306,352
 National Registration Card (3-fold),59,717,776
 Religious card,141,1004,1145
 Temporary Registration Card (white),280,2005,2285
 Foreign Registration Card (FRC),-,6,6
 Foreign Passport,6,67,73
 None,4852,73310,78162
 Child under 10 years,4143,51421,55564
 Total,25022,270539,295561
AREA # 050205,Kyunhlau,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),8899,56543,65442
 Associate Scrutiny Card (blue),1,4,5
 Naturalised Scrutiny Card (green),14,34,48
 National Registration Card (3-fold),2,72,74
 Religious card,55,258,313
 Temporary Registration Card (white),25,156,181
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,1,3,4
 None,1274,16805,18079
 Child under 10 years,1877,18062,19939
 Total,12148,91939,104087
AREA # 050206,Ye U,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),12940,58462,71402
 Associate Scrutiny Card (blue),9,24,33
 Naturalised Scrutiny Card (green),39,102,141
 National Registration Card (3-fold),113,885,998
 Religious card,221,406,627
 Temporary Registration Card (white),6,134,140
 Foreign Registration Card (FRC),5,-,5
 Foreign Passport,19,10,29
 None,4469,19534,24003
 Child under 10 years,2637,18275,20912
 Total,20458,97832,118290
AREA # 050207,Depayin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3104,79660,82764
 Associate Scrutiny Card (blue),-,22,22
 Naturalised Scrutiny Card (green),1,128,129
 National Registration Card (3-fold),5,678,683
 Religious card,26,471,497
 Temporary Registration Card (white),-,71,71
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,-,17,17
 None,468,29794,30262
 Child under 10 years,704,25663,26367
 Total,4308,136507,140815
AREA # 050208,Tasei,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9533,86716,96249
 Associate Scrutiny Card (blue),2,22,24
 Naturalised Scrutiny Card (green),2,143,145
 National Registration Card (3-fold),40,1019,1059
 Religious card,24,604,628
 Temporary Registration Card (white),6,193,199
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,1,10,11
 None,2439,32960,35399
 Child under 10 years,2314,29081,31395
 Total,14361,150749,165110
AREA # 050251,Kyaukmyaung(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6436,12861,19297
 Associate Scrutiny Card (blue),1,2,3
 Naturalised Scrutiny Card (green),29,7,36
 National Registration Card (3-fold),97,156,253
 Religious card,47,104,151
 Temporary Registration Card (white),6,54,60
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,7,3,10
 None,2217,3930,6147
 Child under 10 years,1863,3443,5306
 Total,10703,20562,31265
AREA # 050301,Monywa,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),133760,101193,234953
 Associate Scrutiny Card (blue),86,56,142
 Naturalised Scrutiny Card (green),238,260,498
 National Registration Card (3-fold),1212,1978,3190
 Religious card,3394,933,4327
 Temporary Registration Card (white),131,89,220
 Foreign Registration Card (FRC),15,3,18
 Foreign Passport,74,20,94
 None,39482,35154,74636
 Child under 10 years,29097,24920,54017
 Total,207489,164606,372095
AREA # 050302,Butalin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3968,76919,80887
 Associate Scrutiny Card (blue),-,12,12
 Naturalised Scrutiny Card (green),2,78,80
 National Registration Card (3-fold),7,1156,1163
 Religious card,102,569,671
 Temporary Registration Card (white),2,24,26
 Foreign Passport,-,14,14
 None,457,18611,19068
 Child under 10 years,672,20946,21618
 Total,5210,118329,123539
AREA # 050303,Ayartaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6698,83910,90608
 Associate Scrutiny Card (blue),8,26,34
 Naturalised Scrutiny Card (green),-,166,166
 National Registration Card (3-fold),47,1719,1766
 Religious card,49,651,700
 Temporary Registration Card (white),12,53,65
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,3,37,40
 None,1163,35775,36938
 Child under 10 years,1536,23915,25451
 Total,9516,146253,155769
AREA # 050304,Chaung Oo,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),14356,52285,66641
 Associate Scrutiny Card (blue),1,29,30
 Naturalised Scrutiny Card (green),18,135,153
 National Registration Card (3-fold),112,401,513
 Religious card,258,394,652
 Temporary Registration Card (white),31,60,91
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,2,13,15
 None,3942,17587,21529
 Child under 10 years,3208,13121,16329
 Total,21929,84026,105955
AREA # 050401,Katha,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),17390,71308,88698
 Associate Scrutiny Card (blue),48,41,89
 Naturalised Scrutiny Card (green),124,202,326
 National Registration Card (3-fold),147,698,845
 Religious card,257,460,717
 Temporary Registration Card (white),111,326,437
 Foreign Registration Card (FRC),8,6,14
 Foreign Passport,9,21,30
 None,4257,37034,41291
 Child under 10 years,4381,30906,35287
 Total,26732,141002,167734
AREA # 050402,Indaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6533,72999,79532
 Associate Scrutiny Card (blue),17,25,42
 Naturalised Scrutiny Card (green),23,104,127
 National Registration Card (3-fold),27,242,269
 Religious card,23,460,483
 Temporary Registration Card (white),1,139,140
 Foreign Registration Card (FRC),3,-,3
 Foreign Passport,1,12,13
 None,619,13753,14372
 Child under 10 years,1282,24003,25285
 Total,8529,111737,120266
AREA # 050403,Tigyaing,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9423,66856,76279
 Associate Scrutiny Card (blue),7,36,43
 Naturalised Scrutiny Card (green),11,45,56
 National Registration Card (3-fold),11,92,103
 Religious card,89,382,471
 Temporary Registration Card (white),19,760,779
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,2,53,55
 None,1707,25153,26860
 Child under 10 years,2266,23040,25306
 Total,13535,116420,129955
AREA # 050404,Banmauk,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4352,58516,62868
 Associate Scrutiny Card (blue),1,26,27
 Naturalised Scrutiny Card (green),6,112,118
 National Registration Card (3-fold),9,451,460
 Religious card,18,387,405
 Temporary Registration Card (white),1,153,154
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,1,9,10
 None,682,21949,22631
 Child under 10 years,1094,24900,25994
 Total,6165,106503,112668
AREA # 050405,Kawlin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15454,73644,89098
 Associate Scrutiny Card (blue),98,28,126
 Naturalised Scrutiny Card (green),53,63,116
 National Registration Card (3-fold),33,249,282
 Religious card,144,493,637
 Temporary Registration Card (white),81,247,328
 Foreign Registration Card (FRC),6,-,6
 Foreign Passport,2,15,17
 None,2490,27475,29965
 Child under 10 years,3070,21652,24722
 Total,21431,123866,145297
AREA # 050406,Wuntho,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),8579,38038,46617
 Associate Scrutiny Card (blue),4,23,27
 Naturalised Scrutiny Card (green),1,17,18
 National Registration Card (3-fold),5,59,64
 Religious card,266,302,568
 Temporary Registration Card (white),8,120,128
 Foreign Registration Card (FRC),2,1,3
 Foreign Passport,1,11,12
 None,1240,10102,11342
 Child under 10 years,1866,12750,14616
 Total,11972,61423,73395
AREA # 050407,Pinlebu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4902,57314,62216
 Associate Scrutiny Card (blue),4,15,19
 Naturalised Scrutiny Card (green),3,97,100
 National Registration Card (3-fold),5,207,212
 Religious card,60,470,530
 Temporary Registration Card (white),7,176,183
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,2,8,10
 None,917,23620,24537
 Child under 10 years,1063,23097,24160
 Total,6963,105005,111968
AREA # 050501,Kalay,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),77949,118669,196618
 Associate Scrutiny Card (blue),58,32,90
 Naturalised Scrutiny Card (green),91,96,187
 National Registration Card (3-fold),209,541,750
 Religious card,402,384,786
 Temporary Registration Card (white),66,221,287
 Foreign Registration Card (FRC),1,6,7
 Foreign Passport,83,35,118
 None,28124,52134,80258
 Child under 10 years,23523,45949,69472
 Total,130506,218067,348573
AREA # 050502,Kalewa,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6199,31476,37675
 Associate Scrutiny Card (blue),3,6,9
 Naturalised Scrutiny Card (green),18,17,35
 National Registration Card (3-fold),9,28,37
 Religious card,64,151,215
 Temporary Registration Card (white),23,69,92
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,-,4,4
 None,1139,6571,7710
 Child under 10 years,1363,9291,10654
 Total,8819,47613,56432
AREA # 050503,Mingin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2412,61389,63801
 Associate Scrutiny Card (blue),-,11,11
 Naturalised Scrutiny Card (green),3,64,67
 National Registration Card (3-fold),5,496,501
 Religious card,57,307,364
 Temporary Registration Card (white),35,94,129
 Foreign Registration Card (FRC),4,1,5
 Foreign Passport,-,7,7
 None,414,18278,18692
 Child under 10 years,537,20249,20786
 Total,3467,100896,104363
AREA # 050601,Tamu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),29767,9977,39744
 Associate Scrutiny Card (blue),14,2,16
 Naturalised Scrutiny Card (green),21,9,30
 National Registration Card (3-fold),38,6,44
 Religious card,144,47,191
 Temporary Registration Card (white),23,33,56
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,16,3,19
 None,4795,1647,6442
 Child under 10 years,8919,3881,12800
 Total,43737,15606,59343
AREA # 050651,Myothit(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1159,9645,10804
 Associate Scrutiny Card (blue),-,10,10
 Naturalised Scrutiny Card (green),2,10,12
 National Registration Card (3-fold),5,51,56
 Religious card,4,16,20
 Temporary Registration Card (white),-,6,6
 Foreign Passport,-,1,1
 None,81,1249,1330
 Child under 10 years,391,4168,4559
 Total,1642,15156,16798
AREA # 050652,Khampat(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7206,13678,20884
 Associate Scrutiny Card (blue),410,-,410
 Naturalised Scrutiny Card (green),1,1,2
 National Registration Card (3-fold),13,26,39
 Religious card,9,17,26
 Temporary Registration Card (white),6,22,28
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,1,5,6
 None,2907,4313,7220
 Child under 10 years,4005,6106,10111
 Total,14559,24169,38728
AREA # 050701,Mawlaik,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5991,26764,32755
 Associate Scrutiny Card (blue),6,8,14
 Naturalised Scrutiny Card (green),14,47,61
 National Registration Card (3-fold),23,69,92
 Religious card,32,129,161
 Temporary Registration Card (white),23,88,111
 Foreign Passport,4,7,11
 None,1055,6481,7536
 Child under 10 years,1408,9165,10573
 Total,8556,42758,51314
AREA # 050702,Phaungpyin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6402,56884,63286
 Associate Scrutiny Card (blue),9,15,24
 Naturalised Scrutiny Card (green),7,33,40
 National Registration Card (3-fold),19,237,256
 Religious card,47,382,429
 Temporary Registration Card (white),5,341,346
 Foreign Passport,-,23,23
 None,1530,19491,21021
 Child under 10 years,2030,25239,27269
 Total,10049,102645,112694
AREA # 050801,Hkamti,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7601,19377,26978
 Associate Scrutiny Card (blue),2,29,31
 Naturalised Scrutiny Card (green),32,86,118
 National Registration Card (3-fold),27,64,91
 Religious card,48,68,116
 Temporary Registration Card (white),7,126,133
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,2,8,10
 None,1789,8948,10737
 Child under 10 years,2043,7399,9442
 Total,11551,36107,47658
AREA # 050802,Homalin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),12643,98292,110935
 Associate Scrutiny Card (blue),2,92,94
 Naturalised Scrutiny Card (green),16,285,301
 National Registration Card (3-fold),92,1865,1957
 Religious card,92,629,721
 Temporary Registration Card (white),67,941,1008
 Foreign Registration Card (FRC),-,44,44
 Foreign Passport,4,67,71
 None,4356,77900,82256
 Child under 10 years,3948,56871,60819
 Total,21220,236986,258206
