Activity_status,Sex_Male,Sex_Female,Sex_Total
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),988,1079,2067
" Employee (Private, Org)",1076,429,1505
 Employer,121,75,196
 Own account worker,4062,1741,5803
 Contributing family worker,9329,9059,18388
 Sought work,2119,1199,3318
 Did not seek work,455,325,780
 Full time student,7523,7818,15341
 Household work,1442,9272,10714
" Pensioner, retired, elderly person",1309,1452,2761
" Ill, disabled",382,482,864
 Other,992,708,1700
 Total,29798,33639,63437
NotApp :,24186,*,*
AREA # 040203,Tonzaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),366,229,595
" Employee (Private, Org)",234,50,284
 Employer,22,4,26
 Own account worker,1985,1183,3168
 Contributing family worker,1194,1058,2252
 Sought work,353,171,524
 Did not seek work,100,60,160
 Full time student,1832,1914,3746
 Household work,135,2097,2232
" Pensioner, retired, elderly person",302,431,733
" Ill, disabled",86,107,193
 Other,199,128,327
 Total,6808,7432,14240
NotApp :,6482,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),119,55,174
" Employee (Private, Org)",350,94,444
 Employer,14,8,22
 Own account worker,552,212,764
 Contributing family worker,572,629,1201
 Sought work,73,48,121
 Did not seek work,3,1,4
 Full time student,569,616,1185
 Household work,37,646,683
" Pensioner, retired, elderly person",86,98,184
" Ill, disabled",29,33,62
 Other,107,73,180
 Total,2511,2513,5024
NotApp :,1596,*,*
AREA # 040252,Cikha(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),174,81,255
" Employee (Private, Org)",68,24,92
 Employer,1,-,1
 Own account worker,13,8,21
 Contributing family worker,2435,2227,4662
 Sought work,63,39,102
 Did not seek work,15,13,28
 Full time student,915,862,1777
 Household work,18,375,393
" Pensioner, retired, elderly person",220,317,537
" Ill, disabled",37,50,87
 Other,33,27,60
 Total,3992,4023,8015
NotApp :,3141,*,*
AREA # 040301,Mindat,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1006,662,1668
" Employee (Private, Org)",826,355,1181
 Employer,45,38,83
 Own account worker,3040,3259,6299
 Contributing family worker,2358,3910,6268
 Sought work,352,253,605
 Did not seek work,32,31,63
 Full time student,3995,4139,8134
 Household work,144,2604,2748
" Pensioner, retired, elderly person",730,792,1522
" Ill, disabled",187,197,384
 Other,496,273,769
 Total,13211,16513,29724
NotApp :,12876,*,*
AREA # 040302,Matupi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1132,549,1681
" Employee (Private, Org)",1009,583,1592
 Employer,130,145,275
 Own account worker,2363,1497,3860
 Contributing family worker,2844,2594,5438
 Sought work,557,297,854
 Did not seek work,129,67,196
 Full time student,4053,4281,8334
 Household work,222,4111,4333
" Pensioner, retired, elderly person",687,887,1574
" Ill, disabled",135,152,287
 Other,215,186,401
 Total,13476,15349,28825
NotApp :,10261,*,*
AREA # 040303,Kanpalet,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),535,307,842
" Employee (Private, Org)",654,151,805
 Employer,32,26,58
 Own account worker,1373,776,2149
 Contributing family worker,1224,1398,2622
 Sought work,192,135,327
 Did not seek work,37,24,61
 Full time student,2179,1937,4116
 Household work,193,2487,2680
" Pensioner, retired, elderly person",258,387,645
" Ill, disabled",61,86,147
 Other,220,116,336
 Total,6958,7830,14788
NotApp :,6705,*,*
AREA # 040304,Paletwat,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),965,458,1423
" Employee (Private, Org)",617,125,742
 Employer,283,198,481
 Own account worker,9626,4205,13831
 Contributing family worker,3092,9418,12510
 Sought work,435,361,796
 Did not seek work,85,53,138
 Full time student,5421,4597,10018
 Household work,332,4219,4551
" Pensioner, retired, elderly person",608,1129,1737
" Ill, disabled",178,217,395
 Other,519,319,838
 Total,22161,25299,47460
NotApp :,17511,*,*
AREA # 040351,Reazu(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),150,103,253
" Employee (Private, Org)",256,175,431
 Employer,6,3,9
 Own account worker,450,384,834
 Contributing family worker,1334,1472,2806
 Sought work,136,90,226
 Did not seek work,80,76,156
 Full time student,930,1114,2044
 Household work,100,1278,1378
" Pensioner, retired, elderly person",175,293,468
" Ill, disabled",53,70,123
 Other,65,62,127
 Total,3735,5120,8855
NotApp :,3410,*,*
AREA # 040352,Sami(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),310,73,383
" Employee (Private, Org)",833,138,971
 Employer,52,29,81
 Own account worker,4451,2533,6984
 Contributing family worker,1044,1183,2227
 Sought work,270,153,423
 Did not seek work,56,55,111
 Full time student,3196,2799,5995
 Household work,109,4058,4167
" Pensioner, retired, elderly person",279,498,777
" Ill, disabled",78,101,179
 Other,62,71,133
 Total,10740,11691,22431
NotApp :,9651,*,*
AREA # 050101,Sagaing,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),5480,5546,11026
" Employee (Private, Org)",25185,14898,40083
 Employer,3890,1565,5455
 Own account worker,45098,31874,76972
 Contributing family worker,5345,13490,18835
 Sought work,2348,1790,4138
 Did not seek work,683,453,1136
 Full time student,18503,17829,36332
 Household work,1820,39905,41725
" Pensioner, retired, elderly person",7359,10847,18206
" Ill, disabled",808,773,1581
 Other,3542,2273,5815
 Total,120061,141243,261304
NotApp :,45890,*,*
AREA # 050102,Myinmu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),875,1088,1963
" Employee (Private, Org)",3438,1588,5026
 Employer,796,256,1052
 Own account worker,17280,7267,24547
 Contributing family worker,3740,5836,9576
 Sought work,4438,4486,8924
 Did not seek work,662,484,1146
 Full time student,4813,5396,10209
 Household work,479,18974,19453
" Pensioner, retired, elderly person",2757,4068,6825
" Ill, disabled",345,351,696
 Other,1516,530,2046
 Total,41139,50324,91463
NotApp :,15523,*,*
AREA # 050103,Myaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),896,1339,2235
" Employee (Private, Org)",7950,7395,15345
 Employer,1320,439,1759
 Own account worker,13604,7669,21273
 Contributing family worker,3951,7236,11187
 Sought work,1201,1063,2264
 Did not seek work,672,571,1243
 Full time student,5111,5738,10849
 Household work,732,14254,14986
" Pensioner, retired, elderly person",2418,3782,6200
" Ill, disabled",365,409,774
 Other,1259,949,2208
 Total,39479,50844,90323
NotApp :,16088,*,*
AREA # 050201,Shwebo,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3168,2994,6162
" Employee (Private, Org)",26131,21622,47753
 Employer,4199,1976,6175
 Own account worker,26586,21319,47905
 Contributing family worker,4411,7988,12399
 Sought work,2016,1661,3677
 Did not seek work,289,188,477
 Full time student,12510,12502,25012
 Household work,978,27167,28145
" Pensioner, retired, elderly person",5945,9177,15122
" Ill, disabled",684,736,1420
 Other,4244,1551,5795
 Total,91161,108881,200042
NotApp :,35500,*,*
AREA # 050202,Khin U,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),764,980,1744
" Employee (Private, Org)",9637,7278,16915
 Employer,1234,640,1874
 Own account worker,22435,11504,33939
 Contributing family worker,7534,15932,23466
 Sought work,522,750,1272
 Did not seek work,79,61,140
 Full time student,7893,8077,15970
 Household work,421,15168,15589
" Pensioner, retired, elderly person",3117,5072,8189
" Ill, disabled",452,425,877
 Other,1586,614,2200
 Total,55674,66501,122175
NotApp :,24282,*,*
AREA # 050203,Wetlet,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1110,1403,2513
" Employee (Private, Org)",14365,10766,25131
 Employer,2899,1253,4152
 Own account worker,29961,18067,48028
 Contributing family worker,7893,16371,24264
 Sought work,1091,1302,2393
 Did not seek work,98,75,173
 Full time student,9219,9626,18845
 Household work,427,23214,23641
" Pensioner, retired, elderly person",4525,7335,11860
" Ill, disabled",634,747,1381
 Other,2497,954,3451
 Total,74719,91113,165832
NotApp :,30384,*,*
AREA # 050204,Kambalu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2407,1797,4204
" Employee (Private, Org)",12289,9209,21498
 Employer,3080,1039,4119
 Own account worker,49292,28209,77501
 Contributing family worker,15048,33977,49025
 Sought work,1638,1498,3136
 Did not seek work,204,166,370
 Full time student,17636,17435,35071
 Household work,1216,24344,25560
" Pensioner, retired, elderly person",4861,7998,12859
" Ill, disabled",562,591,1153
 Other,3570,1931,5501
 Total,111803,128194,239997
NotApp :,55564,*,*
AREA # 050205,Kyunhlau,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),796,723,1519
" Employee (Private, Org)",6926,2624,9550
 Employer,1217,503,1720
 Own account worker,18125,8392,26517
 Contributing family worker,4323,10165,14488
 Sought work,713,690,1403
 Did not seek work,59,73,132
 Full time student,5493,5646,11139
 Household work,310,10539,10849
" Pensioner, retired, elderly person",1986,2943,4929
" Ill, disabled",192,265,457
 Other,1043,402,1445
 Total,41183,42965,84148
NotApp :,19939,*,*
AREA # 050206,Ye U,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),827,1133,1960
" Employee (Private, Org)",5890,5247,11137
 Employer,1193,918,2111
 Own account worker,14674,12023,26697
 Contributing family worker,4398,8982,13380
 Sought work,1045,1222,2267
 Did not seek work,132,94,226
 Full time student,7203,7713,14916
 Household work,533,13285,13818
" Pensioner, retired, elderly person",3063,5125,8188
" Ill, disabled",441,493,934
 Other,1376,368,1744
 Total,40775,56603,97378
NotApp :,20912,*,*
AREA # 050207,Depayin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),775,944,1719
" Employee (Private, Org)",8703,6785,15488
 Employer,4389,1200,5589
 Own account worker,17070,9787,26857
 Contributing family worker,5536,11845,17381
 Sought work,1064,1059,2123
 Did not seek work,181,133,314
 Full time student,7928,8113,16041
 Household work,427,17299,17726
" Pensioner, retired, elderly person",3223,5019,8242
" Ill, disabled",497,565,1062
 Other,1357,549,1906
 Total,51150,63298,114448
NotApp :,26367,*,*
AREA # 050208,Tasei,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),857,1140,1997
" Employee (Private, Org)",4621,2708,7329
 Employer,5766,2763,8529
 Own account worker,18261,11049,29310
 Contributing family worker,8620,18481,27101
 Sought work,2023,2140,4163
 Did not seek work,130,141,271
 Full time student,9994,10994,20988
 Household work,596,20430,21026
" Pensioner, retired, elderly person",3659,5936,9595
" Ill, disabled",534,572,1106
 Other,1531,769,2300
 Total,56592,77123,133715
NotApp :,31395,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),325,187,512
" Employee (Private, Org)",3420,2371,5791
 Employer,236,69,305
 Own account worker,4066,2298,6364
 Contributing family worker,882,1727,2609
 Sought work,309,259,568
 Did not seek work,39,24,63
 Full time student,1544,1594,3138
 Household work,127,4256,4383
" Pensioner, retired, elderly person",526,832,1358
" Ill, disabled",109,126,235
 Other,486,147,633
 Total,12069,13890,25959
NotApp :,5306,*,*
AREA # 050301,Monywa,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),7483,6412,13895
" Employee (Private, Org)",40662,29561,70223
 Employer,6280,3086,9366
 Own account worker,37836,31897,69733
 Contributing family worker,6410,10442,16852
 Sought work,3901,3038,6939
 Did not seek work,606,353,959
 Full time student,20659,22743,43402
 Household work,2114,48356,50470
" Pensioner, retired, elderly person",8306,12320,20626
" Ill, disabled",1129,1089,2218
 Other,9289,4106,13395
 Total,144675,173403,318078
NotApp :,54017,*,*
AREA # 050302,Butalin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),863,1209,2072
" Employee (Private, Org)",8954,8398,17352
 Employer,1780,969,2749
 Own account worker,15273,10944,26217
 Contributing family worker,3792,7707,11499
 Sought work,895,1013,1908
 Did not seek work,140,92,232
 Full time student,6976,7207,14183
 Household work,310,14067,14377
" Pensioner, retired, elderly person",3253,5202,8455
" Ill, disabled",506,565,1071
 Other,1451,355,1806
 Total,44193,57728,101921
NotApp :,21618,*,*
AREA # 050303,Ayartaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1270,910,2180
" Employee (Private, Org)",12816,8207,21023
 Employer,1537,475,2012
 Own account worker,21684,9426,31110
 Contributing family worker,4119,6160,10279
 Sought work,1713,1534,3247
 Did not seek work,188,109,297
 Full time student,7360,7949,15309
 Household work,618,29460,30078
" Pensioner, retired, elderly person",3816,6425,10241
" Ill, disabled",567,614,1181
 Other,2261,1100,3361
 Total,57949,72369,130318
NotApp :,25451,*,*
AREA # 050304,Chaung Oo,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),773,1088,1861
" Employee (Private, Org)",10843,9940,20783
 Employer,3021,1176,4197
 Own account worker,12828,9041,21869
 Contributing family worker,2160,4466,6626
 Sought work,733,792,1525
 Did not seek work,148,112,260
 Full time student,4842,5400,10242
 Household work,504,12851,13355
" Pensioner, retired, elderly person",2350,3710,6060
" Ill, disabled",360,358,718
 Other,1593,537,2130
 Total,40155,49471,89626
NotApp :,16329,*,*
AREA # 050401,Katha,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1373,1402,2775
" Employee (Private, Org)",10657,6541,17198
 Employer,1974,814,2788
 Own account worker,26257,16425,42682
 Contributing family worker,8322,13728,22050
 Sought work,690,556,1246
 Did not seek work,84,38,122
 Full time student,10201,10662,20863
 Household work,549,13648,14197
" Pensioner, retired, elderly person",2076,3392,5468
" Ill, disabled",325,365,690
 Other,1926,442,2368
 Total,64434,68013,132447
NotApp :,35287,*,*
AREA # 050402,Indaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),920,1080,2000
" Employee (Private, Org)",3708,1898,5606
 Employer,943,369,1312
 Own account worker,18746,10186,28932
 Contributing family worker,8533,18298,26831
 Sought work,296,413,709
 Did not seek work,35,11,46
 Full time student,6906,7697,14603
 Household work,407,6202,6609
" Pensioner, retired, elderly person",2241,4218,6459
" Ill, disabled",250,272,522
 Other,1012,340,1352
 Total,43997,50984,94981
NotApp :,25285,*,*
AREA # 050403,Tigyaing,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),667,737,1404
" Employee (Private, Org)",10290,5099,15389
 Employer,1686,364,2050
 Own account worker,19370,8173,27543
 Contributing family worker,6459,9015,15474
 Sought work,1176,586,1762
 Did not seek work,163,91,254
 Full time student,6478,6904,13382
 Household work,734,18184,18918
" Pensioner, retired, elderly person",2067,3288,5355
" Ill, disabled",216,221,437
 Other,1763,918,2681
 Total,51069,53580,104649
NotApp :,25306,*,*
AREA # 050404,Banmauk,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),462,614,1076
" Employee (Private, Org)",11598,3436,15034
 Employer,1440,271,1711
 Own account worker,16463,5622,22085
 Contributing family worker,3985,6167,10152
 Sought work,526,484,1010
 Did not seek work,125,77,202
 Full time student,5736,6458,12194
 Household work,368,15623,15991
" Pensioner, retired, elderly person",1931,3584,5515
" Ill, disabled",188,175,363
 Other,1002,339,1341
 Total,43824,42850,86674
NotApp :,25994,*,*
AREA # 050405,Kawlin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1315,1187,2502
" Employee (Private, Org)",10907,5341,16248
 Employer,2870,906,3776
 Own account worker,21441,10477,31918
 Contributing family worker,6656,13327,19983
 Sought work,999,929,1928
 Did not seek work,85,48,133
 Full time student,7321,7630,14951
 Household work,642,17667,18309
" Pensioner, retired, elderly person",3231,4953,8184
" Ill, disabled",345,374,719
 Other,1392,532,1924
 Total,57204,63371,120575
NotApp :,24722,*,*
AREA # 050406,Wuntho,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1002,717,1719
" Employee (Private, Org)",4194,1572,5766
 Employer,1091,250,1341
 Own account worker,10847,5008,15855
 Contributing family worker,3691,5442,9133
 Sought work,391,346,737
 Did not seek work,79,76,155
 Full time student,3628,4120,7748
 Household work,468,10064,10532
" Pensioner, retired, elderly person",1367,2316,3683
" Ill, disabled",140,138,278
 Other,1242,590,1832
 Total,28140,30639,58779
NotApp :,14616,*,*
AREA # 050407,Pinlebu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),858,878,1736
" Employee (Private, Org)",1987,829,2816
 Employer,273,97,370
 Own account worker,16558,5224,21782
 Contributing family worker,5960,11441,17401
 Sought work,3385,2859,6244
 Did not seek work,252,158,410
 Full time student,5513,5801,11314
