Sex,Occupation_Chief_executive_senior_officials_and_legislators,Occupation_Administrative_and_commercial_managers,Occupation_Production_and_specialized_services_managers,"Occupation_Hospitality,_retail_and_other_services_managers",Occupation_Science_and_engineering_professionals,Occupation_Health_professionals,Occupation_Teaching_professionals,Occupation_Business_and_administrative_professionals,Occupation_Information_and_communications_technology_professionals,"Occupation_Legal,_social_and_cultural_professionals",Occupation_Science_and_engineering_associate_professionals,Occupation_Health_associate_professionals,Occupation_Business_and_administrative_associate_professionals,"Occupation_Legal,_social_and_cultural_and_related_associate_professionals",Occupation_Information_and_communications_technicians,Occupation_General_and_keyboard_clerks,Occupation_Customer_services_clerks,Occupation_Numerical_and_material_recording_clerks,Occupation_Other_clerical_support_workers,Occupation_Personal_service_workers,Occupation_Sales_workers,Occupation_Personal_care_workers,Occupation_Protective_services_workers,Occupation_Market-oriented_skilled_agricultural_workers,"Occupation_Market-oriented_skilled_forestry,_fishery_and_hunting_workers","Occupation_Subsistence_farmers,_fishers,_hunters_and_gatherers","Occupation_Building_and_related_trades_workers,_excluding_electricians","Occupation_Metal,_machinery_and_related_trades_workers",Occupation_Handicraft_and_printing_workers,Occupation_Electrical_and_electronic_trades_workers,"Occupation_Food_processing,_wood_working,_garment_and_other_craft_and_related_trades_workers",Occupation_Stationary_plant_and_machine_operators,Occupation_Assemblers,Occupation_Drivers_and_mobile_plant_operators,Occupation_Cleaners_and_helpers,Occupation_Agricultural_forestry_and_fishery_labourers,"Occupation_Labourers_in_mining_,_construction,_manufacturing_and_transport",Occupation_Food_preparation_assistants,Occupation_Street_and_related_sales_and_service_workers,Occupation_Refuse_workers_and_other_elementary_workers,Occupation_Not_stated,Occupation_Total
 Male,118,98,14,7,27,38,131,4,-,52,17,69,1069,86,4,195,27,7,43,288,1831,9,105,20466,349,258,1933,685,1869,100,340,203,7,1018,38,957,348,2,5,1021,4085,37923
 Female,17,106,3,5,3,38,1346,16,1,32,6,135,212,52,5,239,20,13,43,210,4861,19,4,6886,51,50,204,18,367,3,1133,67,-,10,88,759,76,2,10,437,3697,21244
 Total,135,204,17,12,30,76,1477,20,1,84,23,204,1281,138,9,434,47,20,86,498,6692,28,109,27352,400,308,2137,703,2236,103,1473,270,7,1028,126,1716,424,4,15,1458,7782,59167
NotApp :,101431,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 010202,Mogaung,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,100,73,9,9,12,28,123,3,-,115,14,34,1221,145,9,243,41,5,55,294,1664,12,59,17317,125,87,1662,648,923,82,301,163,3,1463,45,912,465,-,7,720,1984,31175
 Female,14,95,1,8,-,23,1115,13,1,56,2,105,187,55,1,170,28,6,53,175,4821,18,1,6050,7,9,119,12,132,3,780,31,-,12,103,432,61,4,12,248,1757,16720
 Total,114,168,10,17,12,51,1238,16,1,171,16,139,1408,200,10,413,69,11,108,469,6485,30,60,23367,132,96,1781,660,1055,85,1081,194,3,1475,148,1344,526,4,19,968,3741,47895
NotApp :,84713,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 010203,Phakant,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,47,173,24,9,13,43,53,2,2,133,18,35,9041,164,2,127,52,6,96,253,4115,17,113,6202,66,15,1256,992,19970,79,237,91,16,1475,89,233,176,2,8,871,4743,51059
 Female,-,56,3,2,1,14,481,3,-,45,1,105,793,51,1,91,24,7,30,337,6146,18,1,1981,4,2,66,17,490,6,498,32,-,9,128,79,29,7,15,278,3696,15547
 Total,47,229,27,11,14,57,534,5,2,178,19,140,9834,215,3,218,76,13,126,590,10261,35,114,8183,70,17,1322,1009,20460,85,735,123,16,1484,217,312,205,9,23,1149,8439,66606
NotApp :,245672,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 010251,Hopin(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,16,33,5,1,6,12,80,1,-,25,4,15,507,29,4,72,19,3,23,129,728,3,30,6074,36,5,744,265,322,31,126,102,1,523,14,465,128,2,4,302,589,11478
 Female,4,38,1,-,-,8,687,7,-,11,-,32,67,18,-,53,9,2,14,123,2142,3,1,3019,1,-,62,3,43,-,337,21,-,5,35,168,11,2,1,131,722,7781
 Total,20,71,6,1,6,20,767,8,-,36,4,47,574,47,4,125,28,5,37,252,2870,6,31,9093,37,5,806,268,365,31,463,123,1,528,49,633,139,4,5,433,1311,19259
NotApp :,29435,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 010252,Kamine(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,4,9,1,1,2,1,8,-,-,21,-,1,16,9,1,15,1,-,1,20,157,-,17,2555,46,23,84,54,72,4,25,14,-,116,1,77,13,-,-,242,278,3889
 Female,-,3,-,-,-,-,76,-,-,5,-,8,7,3,3,8,1,-,4,10,451,2,1,481,-,-,3,-,6,2,46,1,-,1,6,10,2,-,1,30,188,1359
 Total,4,12,1,1,2,1,84,-,-,26,-,9,23,12,4,23,2,-,5,30,608,2,18,3036,46,23,87,54,78,6,71,15,-,117,7,87,15,-,1,272,466,5248
NotApp :,14182,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 010301,Bhamo,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,127,64,15,25,31,32,99,6,1,67,7,42,1297,131,6,295,65,22,67,263,2523,19,176,14907,149,71,1976,657,754,97,256,159,5,1828,48,648,812,-,6,1720,2042,31515
 Female,27,67,2,1,9,25,948,33,2,32,2,180,256,72,1,365,57,19,85,159,5030,19,10,11250,18,10,164,22,368,6,667,53,-,43,128,603,179,2,16,667,1475,23072
 Total,154,131,17,26,40,57,1047,39,3,99,9,222,1553,203,7,660,122,41,152,422,7553,38,186,26157,167,81,2140,679,1122,103,923,212,5,1871,176,1251,991,2,22,2387,3517,54587
NotApp :,81290,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 010302,Shwegu,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,39,41,7,4,4,14,84,5,1,27,3,19,235,36,3,107,9,5,39,120,1180,8,38,13088,337,179,914,280,730,36,235,111,2,705,23,941,207,3,1,1154,1266,22240
 Female,2,66,4,3,1,8,548,7,-,9,1,55,109,11,2,100,7,6,24,69,2417,5,3,7957,28,28,169,6,326,2,262,33,1,15,24,726,57,4,2,424,1438,14959
 Total,41,107,11,7,5,22,632,12,1,36,4,74,344,47,5,207,16,11,63,189,3597,13,41,21045,365,207,1083,286,1056,38,497,144,3,720,47,1667,264,7,3,1578,2704,37199
NotApp :,53492,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 010303,Momauk,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
