Identity_card,Sex_Male,Sex_Female,Sex_Total
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),5189,5984,11173
 Associate Scrutiny Card (blue),2,2,4
 Naturalised Scrutiny Card (green),6,3,9
 National Registration Card (3-fold),12,6,18
 Religious card,34,-,34
 Temporary Registration Card (white),16,8,24
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,14,4,18
 None,1684,1823,3507
 Child under 10 years,3355,3350,6705
 Total,10313,11180,21493
AREA # 040304,Paletwat,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),15086,16354,31440
 Associate Scrutiny Card (blue),10,15,25
 Naturalised Scrutiny Card (green),42,24,66
 National Registration Card (3-fold),117,310,427
 Religious card,81,3,84
 Temporary Registration Card (white),156,344,500
 Foreign Registration Card (FRC),1,4,5
 Foreign Passport,70,17,87
 None,6598,8228,14826
 Child under 10 years,8943,8568,17511
 Total,31104,33867,64971
AREA # 040351,Reazu(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),2965,4247,7212
 Associate Scrutiny Card (blue),1,4,5
 Naturalised Scrutiny Card (green),5,6,11
 National Registration Card (3-fold),5,4,9
 Religious card,3,-,3
 Temporary Registration Card (white),5,1,6
 Foreign Passport,3,2,5
 None,748,856,1604
 Child under 10 years,1736,1674,3410
 Total,5471,6794,12265
AREA # 040352,Sami(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),6864,6064,12928
 Associate Scrutiny Card (blue),6,8,14
 Naturalised Scrutiny Card (green),19,23,42
 National Registration Card (3-fold),19,56,75
 Religious card,19,5,24
 Temporary Registration Card (white),27,100,127
 Foreign Passport,7,3,10
 None,3779,5432,9211
 Child under 10 years,4926,4725,9651
 Total,15666,16416,32082
AREA # 050101,Sagaing,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),87109,104697,191806
 Associate Scrutiny Card (blue),36,51,87
 Naturalised Scrutiny Card (green),424,242,666
 National Registration Card (3-fold),1198,1946,3144
 Religious card,4243,2820,7063
 Temporary Registration Card (white),117,125,242
 Foreign Registration Card (FRC),14,12,26
 Foreign Passport,54,49,103
 None,26866,31301,58167
 Child under 10 years,23359,22531,45890
 Total,143420,163774,307194
AREA # 050102,Myinmu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),32076,38185,70261
 Associate Scrutiny Card (blue),11,19,30
 Naturalised Scrutiny Card (green),141,102,243
 National Registration Card (3-fold),629,1184,1813
 Religious card,638,32,670
 Temporary Registration Card (white),35,27,62
 Foreign Registration Card (FRC),4,1,5
 Foreign Passport,6,22,28
 None,7599,10752,18351
 Child under 10 years,7810,7713,15523
 Total,48949,58037,106986
AREA # 050103,Myaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),30646,37877,68523
 Associate Scrutiny Card (blue),15,12,27
 Naturalised Scrutiny Card (green),49,85,134
 National Registration Card (3-fold),385,816,1201
 Religious card,488,15,503
 Temporary Registration Card (white),32,10,42
 Foreign Registration Card (FRC),1,2,3
 Foreign Passport,12,13,25
 None,7851,12014,19865
 Child under 10 years,8198,7890,16088
 Total,47677,58734,106411
AREA # 050201,Shwebo,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),63148,75232,138380
 Associate Scrutiny Card (blue),48,65,113
 Naturalised Scrutiny Card (green),230,133,363
 National Registration Card (3-fold),670,1047,1717
 Religious card,1594,162,1756
 Temporary Registration Card (white),198,228,426
 Foreign Registration Card (FRC),1,4,5
 Foreign Passport,22,34,56
 None,25250,31976,57226
 Child under 10 years,17794,17706,35500
 Total,108955,126587,235542
AREA # 050202,Khin U,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),41383,47368,88751
 Associate Scrutiny Card (blue),9,15,24
 Naturalised Scrutiny Card (green),129,78,207
 National Registration Card (3-fold),417,609,1026
 Religious card,591,27,618
 Temporary Registration Card (white),95,101,196
 Foreign Passport,13,15,28
 None,13037,18288,31325
 Child under 10 years,12255,12027,24282
 Total,67929,78528,146457
AREA # 050203,Wetlet,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),54258,60975,115233
 Associate Scrutiny Card (blue),22,22,44
 Naturalised Scrutiny Card (green),255,124,379
 National Registration Card (3-fold),678,1297,1975
 Religious card,946,22,968
 Temporary Registration Card (white),120,114,234
 Foreign Registration Card (FRC),14,16,30
 Foreign Passport,12,24,36
 None,18414,28519,46933
 Child under 10 years,15370,15014,30384
 Total,90089,106127,196216
AREA # 050204,Kambalu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),75145,81970,157115
 Associate Scrutiny Card (blue),35,48,83
 Naturalised Scrutiny Card (green),231,121,352
 National Registration Card (3-fold),351,425,776
 Religious card,1051,94,1145
 Temporary Registration Card (white),896,1389,2285
 Foreign Registration Card (FRC),3,3,6
 Foreign Passport,33,40,73
 None,34058,44104,78162
 Child under 10 years,28141,27423,55564
 Total,139944,155617,295561
AREA # 050205,Kyunhlau,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),31860,33582,65442
 Associate Scrutiny Card (blue),2,3,5
 Naturalised Scrutiny Card (green),27,21,48
 National Registration Card (3-fold),38,36,74
 Religious card,287,26,313
 Temporary Registration Card (white),102,79,181
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,2,2,4
 None,8864,9215,18079
 Child under 10 years,9942,9997,19939
 Total,51125,52962,104087
AREA # 050206,Ye U,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),29720,41682,71402
 Associate Scrutiny Card (blue),18,15,33
 Naturalised Scrutiny Card (green),90,51,141
 National Registration Card (3-fold),293,705,998
 Religious card,568,59,627
 Temporary Registration Card (white),44,96,140
 Foreign Registration Card (FRC),3,2,5
 Foreign Passport,19,10,29
 None,10020,13983,24003
 Child under 10 years,10647,10265,20912
 Total,51422,66868,118290
AREA # 050207,Depayin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),38131,44633,82764
 Associate Scrutiny Card (blue),12,10,22
 Naturalised Scrutiny Card (green),80,49,129
 National Registration Card (3-fold),251,432,683
 Religious card,482,15,497
 Temporary Registration Card (white),35,36,71
 Foreign Registration Card (FRC),1,2,3
 Foreign Passport,8,9,17
 None,12150,18112,30262
 Child under 10 years,13246,13121,26367
 Total,64396,76419,140815
AREA # 050208,Tasei,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),41357,54892,96249
 Associate Scrutiny Card (blue),10,14,24
 Naturalised Scrutiny Card (green),78,67,145
 National Registration Card (3-fold),335,724,1059
 Religious card,602,26,628
 Temporary Registration Card (white),50,149,199
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,5,6,11
 None,14154,21245,35399
 Child under 10 years,15883,15512,31395
 Total,72475,92635,165110
AREA # 050251,Kyaukmyaung(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9217,10080,19297
 Associate Scrutiny Card (blue),2,1,3
 Naturalised Scrutiny Card (green),20,16,36
 National Registration Card (3-fold),105,148,253
 Religious card,148,3,151
 Temporary Registration Card (white),30,30,60
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,7,3,10
 None,2539,3608,6147
 Child under 10 years,2612,2694,5306
 Total,14681,16584,31265
AREA # 050301,Monywa,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),105613,129340,234953
 Associate Scrutiny Card (blue),61,81,142
 Naturalised Scrutiny Card (green),297,201,498
 National Registration Card (3-fold),1124,2066,3190
 Religious card,3547,780,4327
 Temporary Registration Card (white),111,109,220
 Foreign Registration Card (FRC),9,9,18
 Foreign Passport,56,38,94
 None,33857,40779,74636
 Child under 10 years,27276,26741,54017
 Total,171951,200144,372095
AREA # 050302,Butalin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),35141,45746,80887
 Associate Scrutiny Card (blue),6,6,12
 Naturalised Scrutiny Card (green),45,35,80
 National Registration Card (3-fold),339,824,1163
 Religious card,614,57,671
 Temporary Registration Card (white),10,16,26
 Foreign Passport,4,10,14
 None,8034,11034,19068
 Child under 10 years,10913,10705,21618
 Total,55106,68433,123539
AREA # 050303,Ayartaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),43060,47548,90608
 Associate Scrutiny Card (blue),15,19,34
 Naturalised Scrutiny Card (green),84,82,166
 National Registration Card (3-fold),635,1131,1766
 Religious card,676,24,700
 Temporary Registration Card (white),35,30,65
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,12,28,40
 None,13431,23507,36938
 Child under 10 years,12785,12666,25451
 Total,70734,85035,155769
AREA # 050304,Chaung Oo,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),29874,36767,66641
 Associate Scrutiny Card (blue),13,17,30
 Naturalised Scrutiny Card (green),100,53,153
 National Registration Card (3-fold),193,320,513
 Religious card,616,36,652
 Temporary Registration Card (white),44,47,91
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,3,12,15
 None,9311,12218,21529
 Child under 10 years,8301,8028,16329
 Total,48456,57499,105955
AREA # 050401,Katha,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),42853,45845,88698
 Associate Scrutiny Card (blue),46,43,89
 Naturalised Scrutiny Card (green),213,113,326
 National Registration Card (3-fold),338,507,845
 Religious card,651,66,717
 Temporary Registration Card (white),237,200,437
 Foreign Registration Card (FRC),7,7,14
 Foreign Passport,19,11,30
 None,20070,21221,41291
 Child under 10 years,17891,17396,35287
 Total,82325,85409,167734
AREA # 050402,Indaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),36065,43467,79532
 Associate Scrutiny Card (blue),25,17,42
 Naturalised Scrutiny Card (green),79,48,127
 National Registration Card (3-fold),101,168,269
 Religious card,403,80,483
 Temporary Registration Card (white),75,65,140
 Foreign Registration Card (FRC),1,2,3
 Foreign Passport,1,12,13
 None,7247,7125,14372
 Child under 10 years,12817,12468,25285
 Total,56814,63452,120266
AREA # 050403,Tigyaing,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),37074,39205,76279
 Associate Scrutiny Card (blue),12,31,43
 Naturalised Scrutiny Card (green),40,16,56
 National Registration Card (3-fold),44,59,103
 Religious card,446,25,471
 Temporary Registration Card (white),633,146,779
 Foreign Registration Card (FRC),3,-,3
 Foreign Passport,46,9,55
 None,12771,14089,26860
 Child under 10 years,12667,12639,25306
 Total,63736,66219,129955
AREA # 050404,Banmauk,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),32121,30747,62868
 Associate Scrutiny Card (blue),15,12,27
 Naturalised Scrutiny Card (green),93,25,118
 National Registration Card (3-fold),188,272,460
 Religious card,351,54,405
 Temporary Registration Card (white),106,48,154
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,9,1,10
 None,10940,11691,22631
 Child under 10 years,13371,12623,25994
 Total,57195,55473,112668
AREA # 050405,Kawlin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),42698,46400,89098
 Associate Scrutiny Card (blue),64,62,126
 Naturalised Scrutiny Card (green),74,42,116
 National Registration Card (3-fold),104,178,282
 Religious card,579,58,637
 Temporary Registration Card (white),139,189,328
 Foreign Registration Card (FRC),4,2,6
 Foreign Passport,8,9,17
 None,13534,16431,29965
 Child under 10 years,12578,12144,24722
 Total,69782,75515,145297
AREA # 050406,Wuntho,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),21793,24824,46617
 Associate Scrutiny Card (blue),14,13,27
 Naturalised Scrutiny Card (green),13,5,18
 National Registration Card (3-fold),28,36,64
 Religious card,489,79,568
 Temporary Registration Card (white),78,50,128
 Foreign Registration Card (FRC),1,2,3
 Foreign Passport,8,4,12
 None,5716,5626,11342
 Child under 10 years,7325,7291,14616
 Total,35465,37930,73395
AREA # 050407,Pinlebu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),28027,34189,62216
 Associate Scrutiny Card (blue),10,9,19
 Naturalised Scrutiny Card (green),75,25,100
 National Registration Card (3-fold),86,126,212
 Religious card,492,38,530
 Temporary Registration Card (white),92,91,183
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,6,4,10
 None,11323,13214,24537
 Child under 10 years,12281,11879,24160
 Total,52393,59575,111968
AREA # 050501,Kalay,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),92731,103887,196618
 Associate Scrutiny Card (blue),38,52,90
 Naturalised Scrutiny Card (green),122,65,187
 National Registration Card (3-fold),338,412,750
 Religious card,687,99,786
 Temporary Registration Card (white),162,125,287
 Foreign Registration Card (FRC),5,2,7
 Foreign Passport,52,66,118
 None,38573,41685,80258
 Child under 10 years,34850,34622,69472
 Total,167558,181015,348573
AREA # 050502,Kalewa,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),18325,19350,37675
 Associate Scrutiny Card (blue),4,5,9
 Naturalised Scrutiny Card (green),24,11,35
 National Registration Card (3-fold),27,10,37
 Religious card,198,17,215
 Temporary Registration Card (white),46,46,92
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,2,2,4
 None,3675,4035,7710
 Child under 10 years,5414,5240,10654
 Total,27715,28717,56432
AREA # 050503,Mingin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),30338,33463,63801
 Associate Scrutiny Card (blue),5,6,11
 Naturalised Scrutiny Card (green),43,24,67
 National Registration Card (3-fold),183,318,501
 Religious card,334,30,364
 Temporary Registration Card (white),60,69,129
 Foreign Registration Card (FRC),2,3,5
 Foreign Passport,5,2,7
 None,8582,10110,18692
 Child under 10 years,10619,10167,20786
 Total,50171,54192,104363
AREA # 050601,Tamu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),19168,20576,39744
 Associate Scrutiny Card (blue),7,9,16
 Naturalised Scrutiny Card (green),19,11,30
 National Registration Card (3-fold),18,26,44
 Religious card,161,30,191
 Temporary Registration Card (white),28,28,56
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,18,1,19
 None,3337,3105,6442
 Child under 10 years,6482,6318,12800
 Total,29239,30104,59343
AREA # 050651,Myothit(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),5630,5174,10804
 Associate Scrutiny Card (blue),6,4,10
 Naturalised Scrutiny Card (green),4,8,12
 National Registration Card (3-fold),32,24,56
 Religious card,19,1,20
 Temporary Registration Card (white),2,4,6
 Foreign Passport,-,1,1
 None,749,581,1330
 Child under 10 years,2318,2241,4559
 Total,8760,8038,16798
AREA # 050652,Khampat(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),10059,10825,20884
 Associate Scrutiny Card (blue),208,202,410
 Naturalised Scrutiny Card (green),2,-,2
 National Registration Card (3-fold),20,19,39
 Religious card,24,2,26
 Temporary Registration Card (white),11,17,28
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,4,2,6
 None,3557,3663,7220
 Child under 10 years,5121,4990,10111
 Total,19008,19720,38728
AREA # 050701,Mawlaik,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),15782,16973,32755
 Associate Scrutiny Card (blue),6,8,14
 Naturalised Scrutiny Card (green),33,28,61
 National Registration Card (3-fold),37,55,92
 Religious card,149,12,161
 Temporary Registration Card (white),60,51,111
 Foreign Passport,3,8,11
 None,3607,3929,7536
 Child under 10 years,5378,5195,10573
 Total,25055,26259,51314
AREA # 050702,Phaungpyin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),29312,33974,63286
 Associate Scrutiny Card (blue),11,13,24
 Naturalised Scrutiny Card (green),23,17,40
 National Registration Card (3-fold),106,150,256
 Religious card,386,43,429
 Temporary Registration Card (white),178,168,346
 Foreign Passport,7,16,23
 None,10070,10951,21021
 Child under 10 years,13776,13493,27269
 Total,53869,58825,112694
AREA # 050801,Hkamti,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),15767,11211,26978
 Associate Scrutiny Card (blue),20,11,31
 Naturalised Scrutiny Card (green),89,29,118
 National Registration Card (3-fold),46,45,91
 Religious card,100,16,116
 Temporary Registration Card (white),77,56,133
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,8,2,10
 None,5992,4745,10737
 Child under 10 years,4817,4625,9442
 Total,26916,20742,47658
AREA # 050802,Homalin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),61130,49805,110935
 Associate Scrutiny Card (blue),55,39,94
 Naturalised Scrutiny Card (green),211,90,301
 National Registration Card (3-fold),833,1124,1957
 Religious card,562,159,721
 Temporary Registration Card (white),516,492,1008
 Foreign Registration Card (FRC),41,3,44
 Foreign Passport,44,27,71
 None,39518,42738,82256
 Child under 10 years,30840,29979,60819
 Total,133750,124456,258206
AREA # 050803,Leshi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),2437,2441,4878
 Associate Scrutiny Card (blue),8,1,9
 Naturalised Scrutiny Card (green),7,4,11
 National Registration Card (3-fold),15,35,50
 Religious card,10,1,11
 Temporary Registration Card (white),2,6,8
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,1,-,1
 None,695,743,1438
 Child under 10 years,1314,1339,2653
 Total,4491,4570,9061
AREA # 050804,Lahe,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),6900,5618,12518
 Associate Scrutiny Card (blue),5,4,9
