Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 No toilet,262,-,262,Kyimyindine,MMR013038
 Total,23062,-,23062,Kyimyindine,MMR013038
 Flush,5858,-,5858,Sangyoung,MMR013039
 Water seal (Improved pit latrine),14746,-,14746,Sangyoung,MMR013039
 Pit (Traditional pit latrine),21,-,21,Sangyoung,MMR013039
 Bucket (Surface latrine),1,-,1,Sangyoung,MMR013039
 Other,5,-,5,Sangyoung,MMR013039
 No toilet,4,-,4,Sangyoung,MMR013039
 Total,20635,-,20635,Sangyoung,MMR013039
 Flush,4804,-,4804,Hline,MMR013040
 Water seal (Improved pit latrine),27809,-,27809,Hline,MMR013040
 Pit (Traditional pit latrine),86,-,86,Hline,MMR013040
 Bucket (Surface latrine),24,-,24,Hline,MMR013040
 Other,9,-,9,Hline,MMR013040
 No toilet,105,-,105,Hline,MMR013040
 Total,32837,-,32837,Hline,MMR013040
 Flush,5079,-,5079,Kamayut,MMR013041
 Water seal (Improved pit latrine),11185,-,11185,Kamayut,MMR013041
 Pit (Traditional pit latrine),25,-,25,Kamayut,MMR013041
 Other,3,-,3,Kamayut,MMR013041
 No toilet,7,-,7,Kamayut,MMR013041
 Total,16299,-,16299,Kamayut,MMR013041
 Flush,6367,-,6367,Mayangon,MMR013042
 Water seal (Improved pit latrine),31819,-,31819,Mayangon,MMR013042
 Pit (Traditional pit latrine),344,-,344,Mayangon,MMR013042
 Bucket (Surface latrine),142,-,142,Mayangon,MMR013042
 Other,57,-,57,Mayangon,MMR013042
 No toilet,78,-,78,Mayangon,MMR013042
 Total,38807,-,38807,Mayangon,MMR013042
 Flush,2171,-,2171,Dagon,MMR013043
 Water seal (Improved pit latrine),2412,-,2412,Dagon,MMR013043
 Pit (Traditional pit latrine),10,-,10,Dagon,MMR013043
 Bucket (Surface latrine),1,-,1,Dagon,MMR013043
 Other,2,-,2,Dagon,MMR013043
 No toilet,12,-,12,Dagon,MMR013043
 Total,4608,-,4608,Dagon,MMR013043
 Flush,5200,-,5200,Bahan,MMR013044
 Water seal (Improved pit latrine),11947,-,11947,Bahan,MMR013044
 Pit (Traditional pit latrine),46,-,46,Bahan,MMR013044
 Bucket (Surface latrine),8,-,8,Bahan,MMR013044
 Other,92,-,92,Bahan,MMR013044
 No toilet,133,-,133,Bahan,MMR013044
 Total,17426,-,17426,Bahan,MMR013044
 Flush,3,-,3,Seikkan,MMR013045
 Water seal (Improved pit latrine),406,-,406,Seikkan,MMR013045
 Other,1,-,1,Seikkan,MMR013045
 Total,410,-,410,Seikkan,MMR013045
 Flush,1903,453,2356,Taunggyi,MMR014001
 Water seal (Improved pit latrine),52233,20680,72913,Taunggyi,MMR014001
 Pit (Traditional pit latrine),2132,3825,5957,Taunggyi,MMR014001
 Bucket (Surface latrine),27,82,109,Taunggyi,MMR014001
 Other,69,206,275,Taunggyi,MMR014001
 No toilet,284,710,994,Taunggyi,MMR014001
 Total,56648,25956,82604,Taunggyi,MMR014001
 Flush,101,421,522,Nyaungshwe,MMR014002
 Water seal (Improved pit latrine),2938,22228,25166,Nyaungshwe,MMR014002
 Pit (Traditional pit latrine),5,4604,4609,Nyaungshwe,MMR014002
 Bucket (Surface latrine),1,7921,7922,Nyaungshwe,MMR014002
 Other,3,1135,1138,Nyaungshwe,MMR014002
 No toilet,11,3266,3277,Nyaungshwe,MMR014002
 Total,3059,39575,42634,Nyaungshwe,MMR014002
 Flush,38,138,176,Hopon,MMR014003
 Water seal (Improved pit latrine),4028,12247,16275,Hopon,MMR014003
 Pit (Traditional pit latrine),359,6528,6887,Hopon,MMR014003
 Bucket (Surface latrine),10,172,182,Hopon,MMR014003
 Other,39,75,114,Hopon,MMR014003
 No toilet,62,1032,1094,Hopon,MMR014003
 Total,4536,20192,24728,Hopon,MMR014003
 Flush,16,162,178,Hsihseng,MMR014004
 Water seal (Improved pit latrine),2403,22928,25331,Hsihseng,MMR014004
 Pit (Traditional pit latrine),184,5153,5337,Hsihseng,MMR014004
 Bucket (Surface latrine),-,231,231,Hsihseng,MMR014004
 Other,2,675,677,Hsihseng,MMR014004
 No toilet,44,973,1017,Hsihseng,MMR014004
 Total,2649,30122,32771,Hsihseng,MMR014004
 Flush,329,156,485,Kalaw,MMR014005
 Water seal (Improved pit latrine),11121,22294,33415,Kalaw,MMR014005
 Pit (Traditional pit latrine),886,4121,5007,Kalaw,MMR014005
 Bucket (Surface latrine),23,116,139,Kalaw,MMR014005
 Other,86,142,228,Kalaw,MMR014005
 No toilet,153,1914,2067,Kalaw,MMR014005
 Total,12598,28743,41341,Kalaw,MMR014005
 Flush,37,378,415,Pindaya,MMR014006
 Water seal (Improved pit latrine),2045,10802,12847,Pindaya,MMR014006
 Pit (Traditional pit latrine),138,2286,2424,Pindaya,MMR014006
 Bucket (Surface latrine),4,79,83,Pindaya,MMR014006
 Other,18,462,480,Pindaya,MMR014006
 No toilet,17,1278,1295,Pindaya,MMR014006
 Total,2259,15285,17544,Pindaya,MMR014006
 Flush,18,163,181,Ywarngan,MMR014007
 Water seal (Improved pit latrine),1066,13192,14258,Ywarngan,MMR014007
 Pit (Traditional pit latrine),33,1806,1839,Ywarngan,MMR014007
 Bucket (Surface latrine),2,69,71,Ywarngan,MMR014007
 Other,10,179,189,Ywarngan,MMR014007
 No toilet,26,1784,1810,Ywarngan,MMR014007
 Total,1155,17193,18348,Ywarngan,MMR014007
 Flush,65,43,108,Yatsauk,MMR014008
 Water seal (Improved pit latrine),5336,11511,16847,Yatsauk,MMR014008
 Pit (Traditional pit latrine),210,6628,6838,Yatsauk,MMR014008
 Bucket (Surface latrine),5,158,163,Yatsauk,MMR014008
 Other,36,502,538,Yatsauk,MMR014008
 No toilet,25,1438,1463,Yatsauk,MMR014008
 Total,5677,20280,25957,Yatsauk,MMR014008
 Flush,45,37,82,Pinlaung,MMR014009
 Water seal (Improved pit latrine),2525,19919,22444,Pinlaung,MMR014009
 Pit (Traditional pit latrine),152,1289,1441,Pinlaung,MMR014009
 Bucket (Surface latrine),2,89,91,Pinlaung,MMR014009
 Other,4,109,113,Pinlaung,MMR014009
 No toilet,42,1291,1333,Pinlaung,MMR014009
 Total,2770,22734,25504,Pinlaung,MMR014009
 Flush,27,72,99,Phekon,MMR014010
 Water seal (Improved pit latrine),3223,14123,17346,Phekon,MMR014010
 Pit (Traditional pit latrine),89,527,616,Phekon,MMR014010
 Bucket (Surface latrine),2,100,102,Phekon,MMR014010
 Other,5,192,197,Phekon,MMR014010
 No toilet,85,1639,1724,Phekon,MMR014010
 Total,3431,16653,20084,Phekon,MMR014010
 Flush,1,37,38,Kyauktalongyi(ST),MMR014001
 Water seal (Improved pit latrine),599,10314,10913,Kyauktalongyi(ST),MMR014001
 Pit (Traditional pit latrine),-,1105,1105,Kyauktalongyi(ST),MMR014001
 Bucket (Surface latrine),-,70,70,Kyauktalongyi(ST),MMR014001
 Other,1,24,25,Kyauktalongyi(ST),MMR014001
 No toilet,1,113,114,Kyauktalongyi(ST),MMR014001
 Total,602,11663,12265,Kyauktalongyi(ST),MMR014001
 Flush,7,65,72,Indaw(ST),MMR014008
 Water seal (Improved pit latrine),1750,2668,4418,Indaw(ST),MMR014008
 Pit (Traditional pit latrine),48,3239,3287,Indaw(ST),MMR014008
 Bucket (Surface latrine),8,48,56,Indaw(ST),MMR014008
 Other,2,76,78,Indaw(ST),MMR014008
 No toilet,21,218,239,Indaw(ST),MMR014008
 Total,1836,6314,8150,Indaw(ST),MMR014008
 Flush,5,218,223,Naungtayar(ST),MMR014009
 Water seal (Improved pit latrine),957,13056,14013,Naungtayar(ST),MMR014009
 Pit (Traditional pit latrine),8,1118,1126,Naungtayar(ST),MMR014009
 Bucket (Surface latrine),2,175,177,Naungtayar(ST),MMR014009
 Other,-,90,90,Naungtayar(ST),MMR014009
 No toilet,7,943,950,Naungtayar(ST),MMR014009
 Total,979,15600,16579,Naungtayar(ST),MMR014009
 Flush,35,12,47,Loilem,MMR014011
 Water seal (Improved pit latrine),2629,3786,6415,Loilem,MMR014011
 Pit (Traditional pit latrine),174,3756,3930,Loilem,MMR014011
 Bucket (Surface latrine),1,84,85,Loilem,MMR014011
 Other,2,208,210,Loilem,MMR014011
 No toilet,12,202,214,Loilem,MMR014011
 Total,2853,8048,10901,Loilem,MMR014011
 Flush,6,23,29,Le`char,MMR014012
 Water seal (Improved pit latrine),1259,3564,4823,Le`char,MMR014012
 Pit (Traditional pit latrine),49,3179,3228,Le`char,MMR014012
 Bucket (Surface latrine),4,240,244,Le`char,MMR014012
 Other,-,155,155,Le`char,MMR014012
 No toilet,12,299,311,Le`char,MMR014012
 Total,1330,7460,8790,Le`char,MMR014012
 Flush,171,140,311,Nanhsam(South),MMR014013
 Water seal (Improved pit latrine),4448,7332,11780,Nanhsam(South),MMR014013
 Pit (Traditional pit latrine),188,4283,4471,Nanhsam(South),MMR014013
 Bucket (Surface latrine),10,290,300,Nanhsam(South),MMR014013
 Other,3,348,351,Nanhsam(South),MMR014013
 No toilet,21,1629,1650,Nanhsam(South),MMR014013
 Total,4841,14022,18863,Nanhsam(South),MMR014013
 Flush,112,20,132,Kunhing,MMR014014
 Water seal (Improved pit latrine),1284,1909,3193,Kunhing,MMR014014
 Pit (Traditional pit latrine),124,744,868,Kunhing,MMR014014
 Bucket (Surface latrine),8,56,64,Kunhing,MMR014014
 Other,1,26,27,Kunhing,MMR014014
 No toilet,13,273,286,Kunhing,MMR014014
 Total,1542,3028,4570,Kunhing,MMR014014
 Flush,38,172,210,Kehsi,MMR014015
 Water seal (Improved pit latrine),640,2581,3221,Kehsi,MMR014015
 Pit (Traditional pit latrine),157,4958,5115,Kehsi,MMR014015
 Bucket (Surface latrine),1,81,82,Kehsi,MMR014015
 Other,-,97,97,Kehsi,MMR014015
 No toilet,6,170,176,Kehsi,MMR014015
 Total,842,8059,8901,Kehsi,MMR014015
 Flush,8,51,59,Mongkai,MMR014016
 Water seal (Improved pit latrine),1619,3775,5394,Mongkai,MMR014016
 Pit (Traditional pit latrine),424,5490,5914,Mongkai,MMR014016
 Bucket (Surface latrine),15,794,809,Mongkai,MMR014016
 Other,127,515,642,Mongkai,MMR014016
 No toilet,26,3488,3514,Mongkai,MMR014016
 Total,2219,14113,16332,Mongkai,MMR014016
 Flush,131,61,192,Mineshu,MMR014017
 Water seal (Improved pit latrine),1535,1513,3048,Mineshu,MMR014017
 Pit (Traditional pit latrine),353,4868,5221,Mineshu,MMR014017
 Bucket (Surface latrine),9,129,138,Mineshu,MMR014017
 Other,24,5,29,Mineshu,MMR014017
 No toilet,31,542,573,Mineshu,MMR014017
 Total,2083,7118,9201,Mineshu,MMR014017
 Flush,116,68,184,Panglong(ST),MMR014011
 Water seal (Improved pit latrine),4377,1215,5592,Panglong(ST),MMR014011
 Pit (Traditional pit latrine),663,7616,8279,Panglong(ST),MMR014011
 Bucket (Surface latrine),11,82,93,Panglong(ST),MMR014011
 Other,29,150,179,Panglong(ST),MMR014011
 No toilet,28,161,189,Panglong(ST),MMR014011
 Total,5224,9292,14516,Panglong(ST),MMR014011
 Flush,27,33,60,Kholan(ST),MMR014013
 Water seal (Improved pit latrine),1565,1006,2571,Kholan(ST),MMR014013
 Pit (Traditional pit latrine),120,1089,1209,Kholan(ST),MMR014013
 Bucket (Surface latrine),14,57,71,Kholan(ST),MMR014013
 Other,8,132,140,Kholan(ST),MMR014013
 No toilet,14,299,313,Kholan(ST),MMR014013
 Total,1748,2616,4364,Kholan(ST),MMR014013
 Flush,76,35,111,Karli(ST),MMR014014
 Water seal (Improved pit latrine),1384,3710,5094,Karli(ST),MMR014014
 Pit (Traditional pit latrine),115,220,335,Karli(ST),MMR014014
 Bucket (Surface latrine),2,37,39,Karli(ST),MMR014014
 Other,58,11,69,Karli(ST),MMR014014
 No toilet,30,889,919,Karli(ST),MMR014014
 Total,1665,4902,6567,Karli(ST),MMR014014
 Flush,2,49,51,Minenaung(ST),MMR014015
 Water seal (Improved pit latrine),363,755,1118,Minenaung(ST),MMR014015
 Pit (Traditional pit latrine),279,2870,3149,Minenaung(ST),MMR014015
 Bucket (Surface latrine),14,172,186,Minenaung(ST),MMR014015
 Other,93,574,667,Minenaung(ST),MMR014015
 No toilet,1,639,640,Minenaung(ST),MMR014015
 Total,752,5059,5811,Minenaung(ST),MMR014015
 Flush,1,20,21,Minesan(Monsan)(ST),MMR014017
 Water seal (Improved pit latrine),394,3855,4249,Minesan(Monsan)(ST),MMR014017
 Pit (Traditional pit latrine),94,1202,1296,Minesan(Monsan)(ST),MMR014017
 Bucket (Surface latrine),5,256,261,Minesan(Monsan)(ST),MMR014017
 Other,1,208,209,Minesan(Monsan)(ST),MMR014017
 No toilet,12,618,630,Minesan(Monsan)(ST),MMR014017
 Total,507,6159,6666,Minesan(Monsan)(ST),MMR014017
 Flush,23,90,113,Linkhe`,MMR014018
 Water seal (Improved pit latrine),1522,4919,6441,Linkhe`,MMR014018
 Pit (Traditional pit latrine),128,1040,1168,Linkhe`,MMR014018
 Bucket (Surface latrine),7,37,44,Linkhe`,MMR014018
 Other,10,77,87,Linkhe`,MMR014018
 No toilet,28,507,535,Linkhe`,MMR014018
 Total,1718,6670,8388,Linkhe`,MMR014018
 Flush,19,65,84,Mone`,MMR014019
 Water seal (Improved pit latrine),1743,1787,3530,Mone`,MMR014019
 Pit (Traditional pit latrine),278,1560,1838,Mone`,MMR014019
 Bucket (Surface latrine),5,37,42,Mone`,MMR014019
 Other,54,249,303,Mone`,MMR014019
 No toilet,4,423,427,Mone`,MMR014019
 Total,2103,4121,6224,Mone`,MMR014019
 Flush,56,64,120,Maukme`,MMR014020
 Water seal (Improved pit latrine),1060,2906,3966,Maukme`,MMR014020
 Pit (Traditional pit latrine),61,2301,2362,Maukme`,MMR014020
 Bucket (Surface latrine),-,59,59,Maukme`,MMR014020
 Other,6,29,35,Maukme`,MMR014020
 No toilet,9,643,652,Maukme`,MMR014020
 Total,1192,6002,7194,Maukme`,MMR014020
 Flush,27,329,356,Minepan,MMR014021
 Water seal (Improved pit latrine),1810,1603,3413,Minepan,MMR014021
 Pit (Traditional pit latrine),89,1026,1115,Minepan,MMR014021
 Bucket (Surface latrine),11,19,30,Minepan,MMR014021
 Other,14,101,115,Minepan,MMR014021
 No toilet,8,384,392,Minepan,MMR014021
 Total,1959,3462,5421,Minepan,MMR014021
 Flush,62,12,74,Homane(ST),MMR014018
 Water seal (Improved pit latrine),569,194,763,Homane(ST),MMR014018
 Pit (Traditional pit latrine),7,133,140,Homane(ST),MMR014018
 Bucket (Surface latrine),7,26,33,Homane(ST),MMR014018
 Other,-,4,4,Homane(ST),MMR014018
 No toilet,29,117,146,Homane(ST),MMR014018
 Total,674,486,1160,Homane(ST),MMR014018
 Flush,41,-,41,Kengtaung(ST),MMR014019
 Water seal (Improved pit latrine),1630,1,1631,Kengtaung(ST),MMR014019
 Pit (Traditional pit latrine),373,72,445,Kengtaung(ST),MMR014019
 Bucket (Surface latrine),6,-,6,Kengtaung(ST),MMR014019
 Other,9,30,39,Kengtaung(ST),MMR014019
 No toilet,38,61,99,Kengtaung(ST),MMR014019
 Total,2097,164,2261,Kengtaung(ST),MMR014019
 Flush,518,82,600,Lashio,MMR015001
 Water seal (Improved pit latrine),31805,16818,48623,Lashio,MMR015001
 Pit (Traditional pit latrine),1593,10529,12122,Lashio,MMR015001
 Bucket (Surface latrine),56,432,488,Lashio,MMR015001
 Other,37,323,360,Lashio,MMR015001
 No toilet,90,2649,2739,Lashio,MMR015001
 Total,34099,30833,64932,Lashio,MMR015001
 Flush,11,36,47,Theinni,MMR015002
 Water seal (Improved pit latrine),1831,7310,9141,Theinni,MMR015002
 Pit (Traditional pit latrine),69,1981,2050,Theinni,MMR015002
 Bucket (Surface latrine),-,107,107,Theinni,MMR015002
 Other,3,170,173,Theinni,MMR015002
 No toilet,9,252,261,Theinni,MMR015002
 Total,1923,9856,11779,Theinni,MMR015002
 Flush,15,27,42,Mineye`,MMR015003
 Water seal (Improved pit latrine),1188,2502,3690,Mineye`,MMR015003
 Pit (Traditional pit latrine),219,7098,7317,Mineye`,MMR015003
 Bucket (Surface latrine),3,393,396,Mineye`,MMR015003
 Other,25,352,377,Mineye`,MMR015003
 No toilet,20,1486,1506,Mineye`,MMR015003
 Total,1470,11858,13328,Mineye`,MMR015003
 Flush,96,155,251,Tantyan,MMR015004
 Water seal (Improved pit latrine),5301,8194,13495,Tantyan,MMR015004
 Pit (Traditional pit latrine),1254,12731,13985,Tantyan,MMR015004
 Bucket (Surface latrine),47,1596,1643,Tantyan,MMR015004
 Other,14,489,503,Tantyan,MMR015004
 No toilet,96,5169,5265,Tantyan,MMR015004
 Total,6808,28334,35142,Tantyan,MMR015004
 Flush,243,233,476,MuSe,MMR015009
 Water seal (Improved pit latrine),12820,7064,19884,MuSe,MMR015009
 Pit (Traditional pit latrine),217,1354,1571,MuSe,MMR015009
 Bucket (Surface latrine),15,64,79,MuSe,MMR015009
 Other,9,30,39,MuSe,MMR015009
 No toilet,30,135,165,MuSe,MMR015009
 Total,13334,8880,22214,MuSe,MMR015009
 Flush,311,592,903,Namkham,MMR015010
 Water seal (Improved pit latrine),5393,7218,12611,Namkham,MMR015010
 Pit (Traditional pit latrine),109,5008,5117,Namkham,MMR015010
 Bucket (Surface latrine),267,1633,1900,Namkham,MMR015010
 Other,28,128,156,Namkham,MMR015010
 No toilet,24,706,730,Namkham,MMR015010
 Total,6132,15285,21417,Namkham,MMR015010
 Flush,78,177,255,Kukai,MMR015011
 Water seal (Improved pit latrine),4122,8270,12392,Kukai,MMR015011
 Pit (Traditional pit latrine),366,3669,4035,Kukai,MMR015011
 Bucket (Surface latrine),13,812,825,Kukai,MMR015011
 Other,92,547,639,Kukai,MMR015011
 No toilet,12,873,885,Kukai,MMR015011
 Total,4683,14348,19031,Kukai,MMR015011
 Flush,95,68,163,Monekoe(ST),MMR015009
 Water seal (Improved pit latrine),833,468,1301,Monekoe(ST),MMR015009
 Pit (Traditional pit latrine),253,919,1172,Monekoe(ST),MMR015009
 Bucket (Surface latrine),77,420,497,Monekoe(ST),MMR015009
 Other,180,362,542,Monekoe(ST),MMR015009
 No toilet,31,652,683,Monekoe(ST),MMR015009
 Total,1469,2889,4358,Monekoe(ST),MMR015009
 Flush,3,3,6,Manhero(ST),MMR015009
 Water seal (Improved pit latrine),339,1173,1512,Manhero(ST),MMR015009
 Pit (Traditional pit latrine),3,114,117,Manhero(ST),MMR015009
 Other,1,1,2,Manhero(ST),MMR015009
 No toilet,-,6,6,Manhero(ST),MMR015009
 Total,346,1297,1643,Manhero(ST),MMR015009
 Flush,9,4,13,Pansai(KyuKute)(ST),MMR015009
 Water seal (Improved pit latrine),1413,2046,3459,Pansai(KyuKute)(ST),MMR015009
 Pit (Traditional pit latrine),292,612,904,Pansai(KyuKute)(ST),MMR015009
 Bucket (Surface latrine),39,15,54,Pansai(KyuKute)(ST),MMR015009
 Other,5,20,25,Pansai(KyuKute)(ST),MMR015009
 No toilet,10,78,88,Pansai(KyuKute)(ST),MMR015009
 Total,1768,2775,4543,Pansai(KyuKute)(ST),MMR015009
 Flush,293,60,353,Tamoenye(ST),MMR015011
 Water seal (Improved pit latrine),1311,3176,4487,Tamoenye(ST),MMR015011
 Pit (Traditional pit latrine),763,5626,6389,Tamoenye(ST),MMR015011
 Bucket (Surface latrine),89,277,366,Tamoenye(ST),MMR015011
 Other,5,281,286,Tamoenye(ST),MMR015011
 No toilet,26,1142,1168,Tamoenye(ST),MMR015011
 Total,2487,10562,13049,Tamoenye(ST),MMR015011
 Flush,156,244,400,Kyukme,MMR015012
 Water seal (Improved pit latrine),8145,12236,20381,Kyukme,MMR015012
 Pit (Traditional pit latrine),288,6143,6431,Kyukme,MMR015012
 Bucket (Surface latrine),15,265,280,Kyukme,MMR015012
 Other,21,201,222,Kyukme,MMR015012
 No toilet,28,629,657,Kyukme,MMR015012
 Total,8653,19718,28371,Kyukme,MMR015012
 Flush,63,963,1026,Naungkhio,MMR015013
 Water seal (Improved pit latrine),3852,17712,21564,Naungkhio,MMR015013
 Pit (Traditional pit latrine),142,6287,6429,Naungkhio,MMR015013
 Bucket (Surface latrine),8,274,282,Naungkhio,MMR015013
 Other,51,591,642,Naungkhio,MMR015013
 No toilet,55,2226,2281,Naungkhio,MMR015013
 Total,4171,28053,32224,Naungkhio,MMR015013
 Flush,43,157,200,Hsipaw,MMR015014
 Water seal (Improved pit latrine),3800,16842,20642,Hsipaw,MMR015014
 Pit (Traditional pit latrine),112,15326,15438,Hsipaw,MMR015014
 Bucket (Surface latrine),5,482,487,Hsipaw,MMR015014
 Other,2,231,233,Hsipaw,MMR015014
 No toilet,47,859,906,Hsipaw,MMR015014
 Total,4009,33897,37906,Hsipaw,MMR015014
 Flush,10,81,91,Namtu,MMR015015
 Water seal (Improved pit latrine),2645,4497,7142,Namtu,MMR015015
 Pit (Traditional pit latrine),421,2575,2996,Namtu,MMR015015
 Bucket (Surface latrine),32,465,497,Namtu,MMR015015
 Other,17,318,335,Namtu,MMR015015
 No toilet,132,448,580,Namtu,MMR015015
 Total,3257,8384,11641,Namtu,MMR015015
 Flush,5,137,142,Namsan(North),MMR015016
 Water seal (Improved pit latrine),820,6240,7060,Namsan(North),MMR015016
 Pit (Traditional pit latrine),78,5328,5406,Namsan(North),MMR015016
 Bucket (Surface latrine),30,119,149,Namsan(North),MMR015016
 Other,-,744,744,Namsan(North),MMR015016
 No toilet,2,182,184,Namsan(North),MMR015016
 Total,935,12750,13685,Namsan(North),MMR015016
 Flush,1,112,113,Momeik,MMR015017
 Water seal (Improved pit latrine),2213,8013,10226,Momeik,MMR015017
 Pit (Traditional pit latrine),4,2711,2715,Momeik,MMR015017
 Bucket (Surface latrine),-,75,75,Momeik,MMR015017
 Other,7,62,69,Momeik,MMR015017
 No toilet,8,446,454,Momeik,MMR015017
 Total,2233,11419,13652,Momeik,MMR015017
 Flush,1,165,166,Mabane,MMR015018
 Water seal (Improved pit latrine),699,7110,7809,Mabane,MMR015018
 Pit (Traditional pit latrine),13,179,192,Mabane,MMR015018
 Bucket (Surface latrine),1,28,29,Mabane,MMR015018
 Other,-,5,5,Mabane,MMR015018
 No toilet,-,431,431,Mabane,MMR015018
 Total,714,7918,8632,Mabane,MMR015018
 Flush,3,16,19,Manton,MMR015019
 Water seal (Improved pit latrine),511,1410,1921,Manton,MMR015019
 Pit (Traditional pit latrine),169,4050,4219,Manton,MMR015019
 Bucket (Surface latrine),43,291,334,Manton,MMR015019
 Other,20,837,857,Manton,MMR015019
 No toilet,33,300,333,Manton,MMR015019
 Total,779,6904,7683,Manton,MMR015019
 Flush,-,78,78,Minengaw(ST),MMR015012
 Water seal (Improved pit latrine),491,1464,1955,Minengaw(ST),MMR015012
 Pit (Traditional pit latrine),118,1669,1787,Minengaw(ST),MMR015012
 Bucket (Surface latrine),-,134,134,Minengaw(ST),MMR015012
 Other,-,38,38,Minengaw(ST),MMR015012
 No toilet,4,33,37,Minengaw(ST),MMR015012
 Total,613,3416,4029,Minengaw(ST),MMR015012
 Flush,4,3,7,Minelon(ST),MMR015012
 Water seal (Improved pit latrine),540,2385,2925,Minelon(ST),MMR015012
 Pit (Traditional pit latrine),28,2463,2491,Minelon(ST),MMR015012
 Bucket (Surface latrine),1,114,115,Minelon(ST),MMR015012
 Other,1,132,133,Minelon(ST),MMR015012
 No toilet,12,173,185,Minelon(ST),MMR015012
 Total,586,5270,5856,Minelon(ST),MMR015012
 Flush,5,126,131,Kunlon,MMR015020
 Water seal (Improved pit latrine),1036,2811,3847,Kunlon,MMR015020
 Pit (Traditional pit latrine),97,2772,2869,Kunlon,MMR015020
 Bucket (Surface latrine),2,594,596,Kunlon,MMR015020
 Other,-,193,193,Kunlon,MMR015020
 No toilet,18,2738,2756,Kunlon,MMR015020
 Total,1158,9234,10392,Kunlon,MMR015020
 Flush,53,403,456,Laukine,MMR015022
 Water seal (Improved pit latrine),2679,4371,7050,Laukine,MMR015022
 Pit (Traditional pit latrine),122,1782,1904,Laukine,MMR015022
 Bucket (Surface latrine),6,507,513,Laukine,MMR015022
 Other,60,188,248,Laukine,MMR015022
 No toilet,21,4039,4060,Laukine,MMR015022
 Total,2941,11290,14231,Laukine,MMR015022
 Flush,-,65,65,Kongyan,MMR015023
 Water seal (Improved pit latrine),147,537,684,Kongyan,MMR015023
 Pit (Traditional pit latrine),8,419,427,Kongyan,MMR015023
 Bucket (Surface latrine),10,1175,1185,Kongyan,MMR015023
 Other,9,48,57,Kongyan,MMR015023
 No toilet,20,3024,3044,Kongyan,MMR015023
 Total,194,5268,5462,Kongyan,MMR015023
 Flush,8,2,10,Chinshwehaw(ST),MMR015022
 Water seal (Improved pit latrine),521,77,598,Chinshwehaw(ST),MMR015022
 Pit (Traditional pit latrine),66,76,142,Chinshwehaw(ST),MMR015022
 Bucket (Surface latrine),1,2,3,Chinshwehaw(ST),MMR015022
 Other,5,-,5,Chinshwehaw(ST),MMR015022
 No toilet,18,174,192,Chinshwehaw(ST),MMR015022
 Total,619,331,950,Chinshwehaw(ST),MMR015022
 Flush,-,79,79,Mawhtike(ST),MMR015023
 Water seal (Improved pit latrine),82,382,464,Mawhtike(ST),MMR015023
 Pit (Traditional pit latrine),2,409,411,Mawhtike(ST),MMR015023
 Bucket (Surface latrine),1,407,408,Mawhtike(ST),MMR015023
 Other,-,311,311,Mawhtike(ST),MMR015023
 No toilet,-,2530,2530,Mawhtike(ST),MMR015023
 Total,85,4118,4203,Mawhtike(ST),MMR015023
 Flush,105,182,287,Hopan,MMR015021
 Water seal (Improved pit latrine),2549,2179,4728,Hopan,MMR015021
 Pit (Traditional pit latrine),597,2038,2635,Hopan,MMR015021
 Bucket (Surface latrine),39,553,592,Hopan,MMR015021
 Other,28,69,97,Hopan,MMR015021
 No toilet,60,1632,1692,Hopan,MMR015021
 Total,3378,6653,10031,Hopan,MMR015021
 Flush,86,151,237,Minemaw,MMR015008
 Water seal (Improved pit latrine),447,2096,2543,Minemaw,MMR015008
 Pit (Traditional pit latrine),258,5521,5779,Minemaw,MMR015008
 Bucket (Surface latrine),13,992,1005,Minemaw,MMR015008
 Other,37,335,372,Minemaw,MMR015008
 No toilet,12,497,509,Minemaw,MMR015008
 Total,853,9592,10445,Minemaw,MMR015008
 Flush,20,89,109,Panwine,MMR015007
 Water seal (Improved pit latrine),123,1169,1292,Panwine,MMR015007
 Pit (Traditional pit latrine),192,8779,8971,Panwine,MMR015007
 Bucket (Surface latrine),11,1129,1140,Panwine,MMR015007
 Other,120,1980,2100,Panwine,MMR015007
 No toilet,3,354,357,Panwine,MMR015007
 Total,469,13500,13969,Panwine,MMR015007
 Flush,24,-,24,Panlon(ST),MMR015021
 Water seal (Improved pit latrine),189,66,255,Panlon(ST),MMR015021
 Pit (Traditional pit latrine),418,179,597,Panlon(ST),MMR015021
 Bucket (Surface latrine),4,57,61,Panlon(ST),MMR015021
 Other,22,2,24,Panlon(ST),MMR015021
 No toilet,4,220,224,Panlon(ST),MMR015021
 Total,661,524,1185,Panlon(ST),MMR015021
 Flush,-,4,4,Makman,MMR015024
 Water seal (Improved pit latrine),45,387,432,Makman,MMR015024
 Pit (Traditional pit latrine),5,86,91,Makman,MMR015024
 Bucket (Surface latrine),-,8,8,Makman,MMR015024
 Other,-,12,12,Makman,MMR015024
 No toilet,17,2754,2771,Makman,MMR015024
 Total,67,3251,3318,Makman,MMR015024
 Flush,142,264,406,Pan San(Pan Kham),MMR015005
 Water seal (Improved pit latrine),1833,4976,6809,Pan San(Pan Kham),MMR015005
 Pit (Traditional pit latrine),43,1652,1695,Pan San(Pan Kham),MMR015005
